id,bbl,bin,street_number,street_name,borough,zipcode,on_covered_buildings_list,dof_benchmarking_status,site_eui,weather_normalized_site_eui,source_eui,weather_normalized_source_eui,indoor_water_intensity,reported_water_method,energy_star_score,total_ghg_emissions,direct_ghg_emissions,indirect_ghg_emissions,property_floor_area,primary_property_type
10030,5000010275,5089354,90,bay street landing,staten island,10301,yes,in compliance,104.5,0,291.7,0,0,none,1,1489.6,169.4,1320.2,182865,multifamily housing
10031,3001490100,3396179,340,flatbush avenue ext,brooklyn,11201,yes,in compliance,98.2,93.7,147,140.8,0,none,82,398.7,279.9,118.8,68235,office
10032,1013750067,1040809,797,5 avenue,manhattan,10065,yes,in compliance,187.8,184.4,361.7,358.5,97.79,manual,5,7249.2,0,7249.2,532000,hotel
10033,4134740004,4286785,145-73,226 street,queens,11413,yes,in compliance,102.7,100.7,149.2,146.7,0,none,50,329.4,240.1,89.4,54500,non-refrigerated warehouse
10034,1010760015,1026985,525,west 47 street,manhattan,10036,yes,in compliance,86.9,82.9,132.9,128.7,0,none,62,255.4,174.4,81,49000,multifamily housing
10035,3006710001,3009889,850,3 avenue,brooklyn,11232,yes,in compliance,19.8,19.3,35.3,34.8,0,none,0,1409,765.5,643.6,1120000,office
10036,3087230410,3321780;3321780,1511,corbin place,brooklyn,11235,yes,in compliance,35.2,35.2,43.3,43.3,0,none,100,287.3,254.7,32.6,109832,multifamily housing
10037,3008030192,0,14,53 street,brooklyn,11232,yes,in compliance,0,0,0,0,0,none,0,0,0,0,292886,distribution center
10038,1020540082,1061189,66,st nicholas place,manhattan,10032,yes,in compliance,73.3,70.2,105.4,102.4,33.51,abs,0,342.7,266.2,76.5,63132,multifamily housing
10039,1008630060,1017089,183,madison avenue,manhattan,10016,yes,in compliance,73,70.6,155.4,153.5,13.66,abs,86,1369.7,618.5,751.2,236406,office
10040,3063280001,3165172,1901,84 street,brooklyn,11214,yes,in compliance,84.7,0,106.3,0,82.67,abs,82,444.8,380.8,64,92750,multifamily housing
