"NYC Borough, Block, and Lot (BBL)",Reported NYC Building Identification Numbers (BINs),Street Number,Street Name,Borough,Zip Code,BBL on the Covered Buildings List,DOF Benchmarking Submission Status,Site EUI(kBtu/ft2),Weather Normalized Site EUI(kBtu/ft2),Source EUI(kBtu/ft2),Weather Normalized Source EUI(kBtu/ft2),Municipally Supplied Potable Water - Indoor Intensity (gal/ft²),Reported Water Method,ENERGY STAR Score,Total GHG Emissions(MtCO2e),Direct GHG Emissions(MtCO2e),Indirect GHG Emissions(MtCO2e),Reported Property Floor Area (Building(s)) (ft²),Primary Property Type - Self Selected
2031620029,2013759,"2,195",GRAND CONCOURSE     ,BRONX               ,10453,Yes,In Compliance ,114.5,114.5,190.2,190.2,null,None,4,578,382.6,195.4,"67,842",Multifamily Housing
4038867501,4530848,    73-25,WOODHAVEN BOULEVARD ,QUEENS,11385,Yes,In Compliance ,61.3,60.8,157.9,157.6,null,None,73,360.3,69.1,291.2,"78,500",Retail Store
2046420033,2057282,"3,560",OLINVILLE AVENUE    ,BRONX               ,10467,Yes,In Compliance ,84.6,84.5,118.1,117.9,null,None,66,502.7,402.8,99.8,"79,098",Multifamily Housing
2028210068,2007855,"1,511",SHERIDAN AVENUE     ,BRONX               ,10457,Yes,In Compliance ,49.2,49.2,87.4,87.4,null,None,88,632.1,344.7,287.4,"202,418",Multifamily Housing
2031990038,2014312,"2,401",DAVIDSON AVENUE     ,BRONX               ,10468,Yes,In Compliance ,58.9,58.9,90.9,90.9,null,None,85,277.7,201.2,76.5,"63,108",Multifamily Housing
2031070036,2012951;2098283 ;2811853,"1,967",MARMION AVENUE      ,BRONX               ,10460,Yes,In Compliance ,82.9,82.9,129.1,129.1,null,None,38,319.9,229.7,90.3,"51,520",Multifamily Housing
1014370029,1044374,"1,147",   1 AVENUE         ,MANHATTAN,10065,Yes,In Compliance ,107.1,103.6,163.8,160.4,6211.63,Manual,19,435.9,297.6,138.3,"67,880",Multifamily Housing
1007680059,1013885,238,WEST   19 STREET    ,MANHATTAN,10011,Yes,In Compliance ,73.1,70.3,130.8,127.3,5.2,Manual,60,732.5,395.3,337.2,"157,364",Multifamily Housing
1008610027,1016990,31,EAST   31 STREET    ,MANHATTAN,10016,Yes,In Compliance ,56.3,54.4,101.8,100,10.37,Manual,85,395.4,235.6,159.8,"91,500",Multifamily Housing
3081330052,3228742,414,EAST  101 STREET    ,BROOKLYN            ,11236,Yes,In Compliance ,23.1,null,29.6,null,null,None,94,81,67.9,13.1,"62,108",Non-Refrigerated Warehouse
2046410010,2057259,"3,534",BRONX BOULEVARD     ,BRONX               ,10467,Yes,In Compliance ,85.3,85.4,115.3,115.7,null,None,55,330.2,261.3,68.9,"67,387",Multifamily Housing
4018450010,4045575,    89-50,  56 AVENUE         ,QUEENS,11373,Yes,In Compliance ,77.5,null,129.4,null,null,None,49,878.7,538.2,340.5,"177,692",Multifamily Housing
4050230007,4113655,   143-08,ROOSEVELT AVENUE    ,QUEENS,11354,Yes,In Compliance ,63.7,null,89.7,null,null,None,null,380.7,290.9,89.8,"97,979",Multifamily Housing
4051800059,4116935,   140-35,FRANKLIN AVENUE     ,QUEENS,11355,Yes,In Compliance ,97.7,93.7,141.5,137,null,None,56,543.1,397.3,145.8,"94,559",Multifamily Housing
1008657502,1017120,1,EAST   35 STREET    ,MANHATTAN,10016,Yes,In Compliance ,84.3,80.9,133.9,130.5,null,None,null,512.2,332.5,179.7,"99,910",Multifamily Housing
1010717503,1087676,521,WEST   42 STREET    ,MANHATTAN,10036,Yes,In Compliance ,68.6,66.5,110.5,108.4,null,None,null,406.4,258.6,147.9,"96,955",Multifamily Housing
2022950067,2116953,70,BRUCKNER BOULEVARD  ,BRONX               ,10454,Yes,In Compliance ,73.6,71.5,119.2,117.1,52.38,ABS,null,301.4,190.3,111.1,"66,874",Multifamily Housing
2023660037,2116648,507,EAST  161 STREET    ,BRONX               ,10451,Yes,In Compliance ,79,76.4,121.7,119.3,5.77,ABS,null,553.1,374.2,178.9,"116,485",Multifamily Housing
2023670001,2116644,488,EAST  163 STREET    ,BRONX               ,10451,Yes,In Compliance ,79.2,77.5,123.4,121.8,null,None,null,844,562.5,281.5,"176,488",Multifamily Housing
2023670020,2116646,514,EAST  163 STREET    ,BRONX               ,10451,Yes,In Compliance ,82.4,79.6,123.7,121.4,null,None,null,652.7,456,196.6,"133,038",Multifamily Housing
2023730006,2113605,"1,240",WASHINGTON AVENUE   ,BRONX               ,10456,Yes,In Compliance ,89.4,86.6,137.8,135.2,101.08,ABS,null,600.4,405.4,194.9,"111,698",Multifamily Housing
2023790007,2114613;2114612,404,EAST  158 STREET    ,BRONX               ,10451,Yes,In Compliance ,76.9,74.9,128,125.9,100.72,ABS,null,949.2,575.5,373.7,"199,370",Multifamily Housing
2024180033,2113089;2001897,303,EAST  158 STREET    ,BRONX               ,10451,Yes,In Compliance ,86,83.2,129.8,126.9,40.86,ABS,null,"1,009.2",701.6,307.6,"196,653",Multifamily Housing
2024420034,2115818,"3,000",PARK AVENUE         ,BRONX               ,10451,Yes,In Compliance ,69.1,66.8,108.5,106.1,null,None,null,421.2,277.6,143.6,"100,693",Multifamily Housing
2024420060,2124389,675,MORRIS AVENUE       ,BRONX               ,10451,Yes,In Compliance ,39.7,37.9,75.8,74,93.28,ABS,null,484.3,232,252.2,"186,605",Multifamily Housing
2025110013,2098344,900,OGDEN AVENUE        ,BRONX               ,10452,Yes,In Compliance ,85.6,82.4,128,124.8,null,None,null,631.8,444.1,187.6,"124,086",Multifamily Housing
2025190001,2114129,"1,314",NELSON AVENUE       ,BRONX               ,10452,Yes,In Compliance ,88.5,85.9,138,135.5,98.29,ABS,null,609,405,204,"113,973",Multifamily Housing
2025270001,2113108,"1,001",UNIVERSITY AVENUE   ,BRONX               ,10452,Yes,In Compliance ,82.1,79.2,126.4,123.3,96.22,ABS,null,492,333.3,158.7,"99,685",Multifamily Housing
2025310005,2114107,"1,314",MERRIAM AVENUE      ,BRONX               ,10452,Yes,In Compliance ,114.4,110.6,165,160.8,null,None,null,664.8,488.8,176,"98,955",Multifamily Housing
2026420070,2113113,600,CONCORD AVENUE      ,BRONX               ,10455,Yes,In Compliance ,80,78.2,124.7,122.9,105.12,ABS,null,433.2,288.6,144.7,"89,684",Multifamily Housing
2026900081,2113131,881,EAST  162 STREET    ,BRONX               ,10459,Yes,In Compliance ,87.3,84.5,136.6,133.8,98.9,ABS,null,445.8,295.3,150.5,"84,460",Multifamily Housing
2026900173,2109536,861,EAST  163 STREET    ,BRONX               ,10459,Yes,In Compliance ,99.8,96.5,150.3,147,null,None,null,441.4,307.5,133.9,"74,160",Multifamily Housing
2027060001,2114482,"1,118",INTERVALE AVENUE    ,BRONX               ,10459,Yes,In Compliance ,123,118.9,182.8,178.7,13.55,ABS,null,464.6,329,135.5,"63,650",Multifamily Housing
2027060046,2114126,"1,150",INTERVALE AVENUE    ,BRONX               ,10459,Yes,In Compliance ,100.9,98,151.1,148.3,9.93,ABS,null,455.4,319.5,135.8,"75,849",Multifamily Housing
2027427501,2113353;2113354,951,HOE AVENUE          ,BRONX               ,10459,Yes,In Compliance ,75.8,74,117.6,115.9,null,None,null,"1,678.2","1,123.8",554.4,"367,288",Multifamily Housing
2028140069,2114883,270,EAST BURNSIDE AVENUE,BRONX               ,10457,Yes,In Compliance ,72,70.4,113.8,112.3,null,None,null,536.9,350.6,186.3,"122,827",Multifamily Housing
2028390053,2114223,128,CLARKE PLACE EAST   ,BRONX               ,10452,Yes,In Compliance ,91.7,89,145.1,142.6,96.31,ABS,null,322.8,210.6,112.2,"57,979",Multifamily Housing
2028690171,2114452,31,WEST TREMONT AVENUE ,BRONX               ,10453,Yes,In Compliance ,75.6,72.5,121,117.3,112.52,ABS,null,413.6,265.1,148.5,"89,745",Multifamily Housing
2028720320,2114112,"1,491",MACOMBS ROAD        ,BRONX               ,10452,Yes,In Compliance ,96.6,93.7,139.4,136.6,113.96,ABS,null,604.2,443.5,160.7,"106,520",Multifamily Housing
2029250042,2009616,550,EAST  170 STREET    ,BRONX               ,10456,Yes,In Compliance ,74,71.8,121.1,118.9,69.57,ABS,null,482.1,299.8,182.3,"105,983",Multifamily Housing
2029650051,2010271,"1,490",BOSTON ROAD         ,BRONX               ,10460,Yes,In Compliance ,58.3,56.4,112.6,110.9,100.16,ABS,null,370.9,173.2,197.7,"96,882",Multifamily Housing
2030050007,2113158,"1,904",VYSE AVENUE         ,BRONX               ,10460,Yes,In Compliance ,86.7,83.9,137.1,134.2,null,None,null,534,348.5,185.5,"101,479",Multifamily Housing
2030050065,2010893;2808038,"1,932",BRYANT AVENUE       ,BRONX               ,10460,Yes,In Compliance ,70.8,68.3,99.3,96.7,null,None,null,458.6,348.5,110.1,"111,375",Multifamily Housing
2030240080,2102071,385,EAST  184 STREET    ,BRONX               ,10458,Yes,In Compliance ,85.9,83.3,131.9,129.3,null,None,null,663.3,450.6,212.7,"128,634",Multifamily Housing
2030400003,2114972,"4,648",PARK AVENUE         ,BRONX               ,10458,Yes,In Compliance ,98.9,94.3,146.1,141.2,142.85,ABS,null,486.5,347.4,139.1,"83,077",Multifamily Housing
2030500070,2117654,"2,277",BATHGATE AVENUE     ,BRONX               ,10457,Yes,In Compliance ,27,27.1,76.6,76.8,91.84,ABS,null,178.6,17.7,160.9,"84,126",Multifamily Housing
2030690017,2114260,"2,080",LA FONTAINE AVENUE  ,BRONX               ,10457,Yes,In Compliance ,97.2,94.1,148.5,145.2,87.14,ABS,null,420.7,287.7,133,"72,203",Multifamily Housing
2031080044,2102580,825,EAST  179 STREET    ,BRONX               ,10460,Yes,In Compliance ,122.1,118,174.3,170.2,null,None,null,605.5,450.5,155,"84,778",Multifamily Housing
2031300002,2013244,985,EAST TREMONT AVENUE ,BRONX               ,10460,Yes,In Compliance ,100,96,158.1,153.3,null,None,null,495,323.2,171.7,"81,528",Multifamily Housing
2031330001,2088396,961,EAST  180 STREET    ,BRONX               ,10460,Yes,In Compliance ,96.8,93.8,165.6,162.4,99.68,ABS,null,432.2,251.2,181,"71,379",Multifamily Housing
2031690045,2114118,"2,089",CRESTON AVENUE      ,BRONX               ,10453,Yes,In Compliance ,84.1,81.8,131.2,128.7,109.55,ABS,null,485.2,322.9,162.3,"95,509",Multifamily Housing
2032630185,2103647,"3,880",ORLOFF AVENUE       ,BRONX               ,10463,Yes,In Compliance ,71.4,69.3,114.4,112.2,52.21,ABS,null,546.5,350.5,196,"125,449",Multifamily Housing
2033220057,2116616,"3,121",VILLA AVENUE        ,BRONX               ,10468,Yes,In Compliance ,70.6,68.5,113.8,111.8,39.92,ABS,null,473.9,301.1,172.8,"109,783",Multifamily Housing
2033600176,2117656,"3,600",WEBSTER AVENUE      ,BRONX               ,10467,Yes,In Compliance ,66.3,64.3,119.3,117.2,null,None,null,226.1,120.7,105.4,"53,463",Multifamily Housing
2042530080,2103885,"1,975",BIRCHALL AVENUE     ,BRONX               ,10462,Yes,In Compliance ,112.1,108.1,163,159.1,null,None,null,597.7,434.8,162.9,"90,539",Multifamily Housing
2042530084,2103139,678,SAGAMORE STREET     ,BRONX               ,10462,Yes,In Compliance ,103.2,99.6,153.2,149.6,null,None,null,517,366.6,150.4,"84,475",Multifamily Housing
3013470054,3399196;3806178,"1,507",BERGEN STREET       ,BROOKLYN            ,11213,Yes,In Compliance ,64.6,62.3,104.7,102.5,33.63,ABS,null,244.7,154.2,90.5,"61,854",Multifamily Housing
3036170025,3398651;3398652;3398648;3398654;3830507;3398650;3398649,550,WATKINS STREET      ,BROOKLYN            ,11212,Yes,In Compliance ,71,69.4,113.5,111.7,null,None,54,240,154.2,85.8,"55,479",Multifamily Housing
3087897501,3340062;3340062;3340059;3340053;3340063;3340064;3340060;3340061;3340066;3340065;3340058;3340056;3340057;3340065;3340067,"2,801",EAST   26 STREET    ,BROOKLYN            ,11235,Yes,In Compliance ,79,77.6,129.5,127.7,null,None,null,928.4,575.5,352.9,"190,997",Multifamily Housing
3002340024,3001742,169,COLUMBIA HEIGHTS    ,BROOKLYN            ,11201,Yes,In Compliance ,84.5,82.4,152,150.2,33.45,ABS,53,461.5,252.2,209.3,"83,000",Multifamily Housing
4031750001,4433860;4433859;4433858,   104-20,QUEENS BOULEVARD    ,QUEENS,11375,Yes,In Compliance ,91.4,null,148,null,null,None,27,"10,088.4","6,468.8","3,619.6","1,741,458",Multifamily Housing
4021660001,4051518,    62-59, 108 STREET         ,QUEENS,11375,Yes,In Compliance ,22.1,21.9,51.7,51.2,null,None,100,185.5,64.7,120.8,"105,530",Multifamily Housing
1003310001,1004064,504,GRAND STREET        ,MANHATTAN,10002,Yes,In Compliance ,null,null,null,null,null,None,null,355.3,38.4,317,"216,200",Multifamily Housing
4050210008,4113628,   142-10,ROOSEVELT AVENUE    ,QUEENS,11354,Yes,In Compliance ,63.1,null,90,null,null,None,89,750.7,564.4,186.3,"194,882",Multifamily Housing
4021500001,4432064,    64-35,YELLOWSTONE BLVD    ,QUEENS,11375,Yes,In Compliance ,null,null,null,null,null,None,null,280.8,92.8,188,"182,514",Multifamily Housing
4033410030,4079916,   114-20,QUEENS BOULEVARD    ,QUEENS,11375,Yes,In Compliance ,62.7,61.3,81.7,80.2,null,None,93,351.2,298.2,53,"74,242",Multifamily Housing
1010190001,1086225,770,   8 AVENUE         ,MANHATTAN,10036,Yes,In Compliance ,111.2,108.8,147.6,145.1,null,None,null,"2,379.5","1,921.7",457.8,"374,890",Multifamily Housing
1009070016,1019852,225,EAST   26 STREET    ,MANHATTAN,10010,Yes,In Compliance ,91.3,91.1,136.6,136.2,null,None,70,374.6,281,93.6,"54,252",Multifamily Housing
4021127501,4050659,    63-60, 102 STREET         ,QUEENS,11374,Yes,In Compliance ,103.8,null,140.2,null,null,None,null,719.2,573,146.2,"116,662",Multifamily Housing
1012520017,1034123,675,WEST END AVENUE     ,MANHATTAN,10025,Yes,In Compliance ,89.5,85,122.3,117.5,null,None,59,468.7,377.8,90.9,"75,468",Multifamily Housing
5028930001,5043578,195,STEUBEN STREET      ,STATEN ISLAND       ,10304,Yes,In Compliance ,62,60.5,94.2,92.7,null,None,null,533.4,367.2,166.2,"143,836",Multifamily Housing
5028940001,5043579,231,STEUBEN STREET      ,STATEN ISLAND       ,10304,Yes,In Compliance ,68.8,67.8,99.3,98.3,null,None,null,581.4,427.1,154.4,"143,836",Multifamily Housing
2024460021,2002484,977,GRANT AVENUE        ,BRONX               ,10456,Yes,In Compliance ,22.6,22.6,56.6,56.6,null,None,100,85.5,18.8,66.7,"51,203",Multifamily Housing
1010030029,1022709,"1,261",AVENUE OF THE AMER  ,MANHATTAN,10020,Yes,In Compliance ,97.3,95.8,227,225.2,null,None,71,"14,559",408.9,"14,150.1","1,979,787",Office
2027430019,2006021,"1,054",SOUTHERN BOULEVARD  ,BRONX               ,10459,Yes,In Compliance ,118.9,118.7,207.5,207.3,null,None,null,571.7,353,218.7,"64,880",Multifamily Housing
1022150326,1064584,99,MARBLE HILL AVENUE  ,BRONX               ,10463,Yes,In Compliance ,null,null,null,null,null,None,null,null,null,null,"67,620",Multifamily Housing
1021490093,1063584,"2,541",AMSTERDAM AVENUE    ,MANHATTAN,10033,Yes,In Compliance ,null,null,null,null,null,None,null,null,null,null,"81,312",Multifamily Housing
2039800020,2041847,"2,510",TRATMAN AVENUE      ,BRONX               ,10461,Yes,In Compliance ,null,null,null,null,null,None,null,null,null,null,"70,030",Multifamily Housing
1009280009,1020570,321,EAST   22 STREET    ,MANHATTAN,10010,Yes,In Compliance ,56.1,null,94.7,null,null,None,96,332,197,135,"95,083",Multifamily Housing
1007730027,1014148,225,WEST   23 STREET    ,MANHATTAN,10011,Yes,In Compliance ,82.8,78.1,125.2,120.2,31.9,ABS,92,429.7,319.6,110,"68,000",Multifamily Housing
1007730056,1014159,220,WEST   24 STREET    ,MANHATTAN,10011,Yes,In Compliance ,93.9,88.6,139.3,133.8,60.34,ABS,83,421.9,319.6,102.2,"59,000",Multifamily Housing
